open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 02:38:00,3.0987,3.0987,3.0987,3.0987,7.7,1738204739999,23.85999,1,0,0,0
2025-01-30 02:39:00,3.1078,3.1078,3.1078,3.1078,50.0,1738204799999,155.39000,2,25.0,77.69500,0
2025-01-30 02:40:00,3.1078,3.1078,3.1078,3.1078,0,1738204859999,0,0,0,0,0
2025-01-30 02:41:00,3.1079,3.1079,3.1079,3.1079,25.0,1738204919999,77.69750,1,0,0,0
2025-01-30 02:42:00,3.1079,3.1079,3.1079,3.1079,25.0,1738204979999,77.69750,1,0,0,0
2025-01-30 02:43:00,3.1079,3.1079,3.1079,3.1079,25.0,1738205039999,77.69750,1,0,0,0
2025-01-30 02:44:00,3.1079,3.1079,3.0987,3.0987,15408.7,1738205099999,47756.31993,3,0,0,0
2025-01-30 02:45:00,3.1008,3.1008,3.1008,3.1008,7.7,1738205159999,23.87616,1,7.7,23.87616,0
2025-01-30 02:46:00,3.1008,3.1008,3.1008,3.1008,0,1738205219999,0,0,0,0,0
2025-01-30 02:47:00,3.0987,3.0987,3.0987,3.0987,42.3,1738205279999,131.07501,1,0,0,0
2025-01-30 02:48:00,3.0987,3.0987,3.0987,3.0987,0,1738205339999,0,0,0,0,0
2025-01-30 02:49:00,3.0987,3.0987,3.0987,3.0987,0,1738205399999,0,0,0,0,0
2025-01-30 02:50:00,3.0987,3.0987,3.0987,3.0987,0,1738205459999,0,0,0,0,0
2025-01-30 02:51:00,3.0987,3.0987,3.0987,3.0987,0,1738205519999,0,0,0,0,0
2025-01-30 02:52:00,3.1046,3.1046,3.1046,3.1046,50.0,1738205579999,155.23000,1,50.0,155.23000,0
2025-01-30 02:53:00,3.0987,3.0987,3.0987,3.0987,7.7,1738205639999,23.85999,1,0,0,0
2025-01-30 02:54:00,3.1040,3.1040,3.1040,3.1040,7.7,1738205699999,23.90080,1,7.7,23.90080,0
2025-01-30 02:55:00,3.0987,3.0987,3.0987,3.0987,7.7,1738205759999,23.85999,1,0,0,0
2025-01-30 02:56:00,3.1037,3.1044,3.1037,3.1044,145.1,1738205819999,450.38652,5,145.1,450.38652,0
2025-01-30 02:57:00,3.1044,3.1044,3.1044,3.1044,0,1738205879999,0,0,0,0,0
2025-01-30 02:58:00,3.0987,3.0987,3.0987,3.0987,7.7,1738205939999,23.85999,1,0,0,0
2025-01-30 02:59:00,3.1044,3.1044,3.1044,3.1044,7.7,1738205999999,23.90388,1,7.7,23.90388,0
2025-01-30 03:00:00,3.0987,3.0987,3.0987,3.0987,77.9,1738206059999,241.38873,2,0,0,0
2025-01-30 03:01:00,3.1044,3.1044,3.1044,3.1044,7.7,1738206119999,23.90388,1,7.7,23.90388,0
2025-01-30 03:02:00,3.1072,3.1072,3.1072,3.1072,11.6,1738206179999,36.04352,1,11.6,36.04352,0
2025-01-30 03:03:00,3.0987,3.1100,3.0987,3.1100,168.6,1738206239999,524.25899,2,160.9,500.39900,0
2025-01-30 03:04:00,3.1100,3.1100,3.1100,3.1100,0,1738206299999,0,0,0,0,0
2025-01-30 03:05:00,3.1100,3.1100,3.1100,3.1100,0,1738206359999,0,0,0,0,0
2025-01-30 03:06:00,3.1100,3.1100,3.1100,3.1100,0,1738206419999,0,0,0,0,0
2025-01-30 03:07:00,3.1100,3.1100,3.1100,3.1100,0,1738206479999,0,0,0,0,0
2025-01-30 03:08:00,3.1126,3.1126,3.0900,3.0900,10000.0,1738206539999,30982.39353,6,0,0,0
2025-01-30 03:09:00,3.0900,3.0900,3.0900,3.0900,0,1738206599999,0,0,0,0,0
2025-01-30 03:10:00,3.0900,3.0900,3.0900,3.0900,0,1738206659999,0,0,0,0,0
2025-01-30 03:11:00,3.0900,3.0900,3.0900,3.0900,0,1738206719999,0,0,0,0,0
2025-01-30 03:12:00,3.0900,3.0900,3.0900,3.0900,0,1738206779999,0,0,0,0,0
2025-01-30 03:13:00,3.0900,3.0900,3.0900,3.0900,0,1738206839999,0,0,0,0,0
2025-01-30 03:14:00,3.0900,3.0900,3.0900,3.0900,0,1738206899999,0,0,0,0,0
2025-01-30 03:15:00,3.0900,3.0900,3.0900,3.0900,0,1738206959999,0,0,0,0,0
2025-01-30 03:16:00,3.1114,3.1114,3.1082,3.1082,161.8,1738207019999,503.28994,5,0,0,0
2025-01-30 03:17:00,3.1082,3.1082,3.1082,3.1082,0,1738207079999,0,0,0,0,0
2025-01-30 03:18:00,3.1082,3.1082,3.1082,3.1082,0,1738207139999,0,0,0,0,0
2025-01-30 03:19:00,3.1082,3.1082,3.1082,3.1082,0,1738207199999,0,0,0,0,0
2025-01-30 03:20:00,3.1082,3.1082,3.1082,3.1082,0,1738207259999,0,0,0,0,0
2025-01-30 03:21:00,3.1082,3.1082,3.1082,3.1082,160.9,1738207319999,500.10938,1,0,0,0
2025-01-30 03:22:00,3.1082,3.1082,3.1082,3.1082,160.9,1738207379999,500.10938,1,0,0,0
2025-01-30 03:23:00,3.1082,3.1082,3.1082,3.1082,160.9,1738207439999,500.10938,1,0,0,0
2025-01-30 03:24:00,3.1082,3.1082,3.1082,3.1082,0,1738207499999,0,0,0,0,0
